,num,name,ID,type1,type2,genderRatio,baseHP,baseAtt,baseDef,baseSpA,baseSpD,baseSpe,baseStats,abilities,heightm,weightkg,color,evos,eggGroups,tier,prevo,evoLevel,otherFormes,formeOrder,canGigantamax,baseSpecies,forme,requiredItem,isNonstandard,changesFrom,evoCondition,evoType,gender,gen,evoItem,evoRegion,mother,canHatch,evoMove,tags,baseForme,cosmeticFormes,maxHP,requiredAbility,battleOnly,requiredMove,isCosmeticForme,requiredItems,cannotDynamax,requiredTeraType
seismitoad,537,Seismitoad,0537_seismitoad,"['Water', 'Ground']",,,,,,,,,"{'hp': 105, 'atk': 95, 'def': 75, 'spa': 85, 'spd': 75, 'spe': 74}","{'0': 'Swift Swim', '1': 'Poison Touch', 'H': 'Water Absorb'}",1.5,62,Blue,,['Water 1'],Illegal,Palpitoad,36,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
throh,538,Throh,0538_throh,['Fighting'],,,,,,,,,"{'hp': 120, 'atk': 100, 'def': 85, 'spa': 30, 'spd': 85, 'spe': 45}","{'0': 'Guts', '1': 'Inner Focus', 'H': 'Mold Breaker'}",1.3,55.5,Red,,['Human-Like'],Illegal,,,,,,,,,Past,,,,M,,,,,,,,,,,,,,,,,
sawk,539,Sawk,0539_sawk,['Fighting'],,,,,,,,,"{'hp': 75, 'atk': 125, 'def': 75, 'spa': 30, 'spd': 75, 'spe': 85}","{'0': 'Sturdy', '1': 'Inner Focus', 'H': 'Mold Breaker'}",1.4,51,Blue,,['Human-Like'],Illegal,,,,,,,,,Past,,,,M,,,,,,,,,,,,,,,,,
sewaddle,540,Sewaddle,0540_sewaddle,"['Bug', 'Grass']",,,,,,,,,"{'hp': 45, 'atk': 53, 'def': 70, 'spa': 40, 'spd': 60, 'spe': 42}","{'0': 'Swarm', '1': 'Chlorophyll', 'H': 'Overcoat'}",0.3,2.5,Yellow,['Swadloon'],['Bug'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swadloon,541,Swadloon,0541_swadloon,"['Bug', 'Grass']",,,,,,,,,"{'hp': 55, 'atk': 63, 'def': 90, 'spa': 50, 'spd': 80, 'spe': 42}","{'0': 'Leaf Guard', '1': 'Chlorophyll', 'H': 'Overcoat'}",0.5,7.3,Green,['Leavanny'],['Bug'],NFE,Sewaddle,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leavanny,542,Leavanny,0542_leavanny,"['Bug', 'Grass']",,,,,,,,,"{'hp': 75, 'atk': 103, 'def': 80, 'spa': 70, 'spd': 80, 'spe': 92}","{'0': 'Swarm', '1': 'Chlorophyll', 'H': 'Overcoat'}",1.2,20.5,Yellow,,['Bug'],ZU,Swadloon,,,,,,,,,,,levelFriendship,,,,,,,,,,,,,,,,,,
venipede,543,Venipede,0543_venipede,"['Bug', 'Poison']",,,,,,,,,"{'hp': 30, 'atk': 45, 'def': 59, 'spa': 30, 'spd': 39, 'spe': 57}","{'0': 'Poison Point', '1': 'Swarm', 'H': 'Speed Boost'}",0.4,5.3,Red,['Whirlipede'],['Bug'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
whirlipede,544,Whirlipede,0544_whirlipede,"['Bug', 'Poison']",,,,,,,,,"{'hp': 40, 'atk': 55, 'def': 99, 'spa': 40, 'spd': 79, 'spe': 47}","{'0': 'Poison Point', '1': 'Swarm', 'H': 'Speed Boost'}",1.2,58.5,Gray,['Scolipede'],['Bug'],Illegal,Venipede,22,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
scolipede,545,Scolipede,0545_scolipede,"['Bug', 'Poison']",,,,,,,,,"{'hp': 60, 'atk': 100, 'def': 89, 'spa': 55, 'spd': 69, 'spe': 112}","{'0': 'Poison Point', '1': 'Swarm', 'H': 'Speed Boost'}",2.5,200.5,Red,,['Bug'],Illegal,Whirlipede,30,['Scolipede-Mega'],"['Scolipede', 'Scolipede-Mega']",,,,,Past,,,,,,,,,,,,,,,,,,,,,
scolipedemega,545,Scolipede-Mega,0545_scolipede-mega,"['Bug', 'Poison']",,,,,,,,,"{'hp': 60, 'atk': 140, 'def': 149, 'spa': 75, 'spd': 99, 'spe': 62}","{'0': 'Poison Point', '1': 'Swarm', 'H': 'Speed Boost'}",3.2,230.5,Red,,['Bug'],Illegal,,,,,,Scolipede,Mega,Scolipite,Future,,,,,9,,,,,,,,,,,,,,,,
cottonee,546,Cottonee,0546_cottonee,"['Grass', 'Fairy']",,,,,,,,,"{'hp': 40, 'atk': 27, 'def': 60, 'spa': 37, 'spd': 50, 'spe': 66}","{'0': 'Prankster', '1': 'Infiltrator', 'H': 'Chlorophyll'}",0.3,0.6,Green,['Whimsicott'],"['Fairy', 'Grass']",LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whimsicott,547,Whimsicott,0547_whimsicott,"['Grass', 'Fairy']",,,,,,,,,"{'hp': 60, 'atk': 67, 'def': 85, 'spa': 77, 'spd': 75, 'spe': 116}","{'0': 'Prankster', '1': 'Infiltrator', 'H': 'Chlorophyll'}",0.7,6.6,Green,,"['Fairy', 'Grass']",ZU,Cottonee,,,,,,,,,,,useItem,,,Sun Stone,,,,,,,,,,,,,,,
petilil,548,Petilil,0548_petilil,['Grass'],,,,,,,,,"{'hp': 45, 'atk': 35, 'def': 50, 'spa': 70, 'spd': 50, 'spe': 30}","{'0': 'Chlorophyll', '1': 'Own Tempo', 'H': 'Leaf Guard'}",0.5,6.6,Green,"['Lilligant', 'Lilligant-Hisui']",['Grass'],LC,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,
lilligant,549,Lilligant,0549_lilligant,['Grass'],,,,,,,,,"{'hp': 70, 'atk': 60, 'def': 75, 'spa': 110, 'spd': 75, 'spe': 90}","{'0': 'Chlorophyll', '1': 'Own Tempo', 'H': 'Leaf Guard'}",1.1,16.3,Green,,['Grass'],ZU,Petilil,,['Lilligant-Hisui'],"['Lilligant', 'Lilligant-Hisui']",,,,,,,,useItem,F,,Sun Stone,,,,,,,,,,,,,,,
lilliganthisui,549,Lilligant-Hisui,0549_lilligant-hisui,"['Grass', 'Fighting']",,,,,,,,,"{'hp': 70, 'atk': 105, 'def': 75, 'spa': 50, 'spd': 75, 'spe': 105}","{'0': 'Chlorophyll', '1': 'Hustle', 'H': 'Leaf Guard'}",1.2,19.2,Green,,['Grass'],RUBL,Petilil,,,,,Lilligant,Hisui,,,,,useItem,F,,Sun Stone,,,,,,,,,,,,,,,
basculin,550,Basculin,0550_basculin,['Water'],,,,,,,,,"{'hp': 70, 'atk': 92, 'def': 65, 'spa': 80, 'spd': 55, 'spe': 98}","{'0': 'Reckless', '1': 'Adaptability', 'H': 'Mold Breaker'}",1,18,Green,,['Water 2'],ZU,,,"['Basculin-Blue-Striped', 'Basculin-White-Striped']","['Basculin', 'Basculin-Blue-Striped', 'Basculin-White-Striped']",,,,,,,,,,,,,,,,,Red-Striped,,,,,,,,,
basculinbluestriped,550,Basculin-Blue-Striped,0550_basculin-blue-striped,['Water'],,,,,,,,,"{'hp': 70, 'atk': 92, 'def': 65, 'spa': 80, 'spd': 55, 'spe': 98}","{'0': 'Rock Head', '1': 'Adaptability', 'H': 'Mold Breaker'}",1,18,Green,,['Water 2'],,,,,,,Basculin,Blue-Striped,,,,,,,,,,,,,,,,,,,,,,,
basculinwhitestriped,550,Basculin-White-Striped,0550_basculin-white-striped,['Water'],,,,,,,,,"{'hp': 70, 'atk': 92, 'def': 65, 'spa': 80, 'spd': 55, 'spe': 98}","{'0': 'Rattled', '1': 'Adaptability', 'H': 'Mold Breaker'}",1,18,Green,"['Basculegion', 'Basculegion-F']",['Water 2'],,,,,,,Basculin,White-Striped,,,,,,,8,,,,,,,,,,,,,,,,
sandile,551,Sandile,0551_sandile,"['Ground', 'Dark']",,,,,,,,,"{'hp': 50, 'atk': 72, 'def': 35, 'spa': 35, 'spd': 35, 'spe': 65}","{'0': 'Intimidate', '1': 'Moxie', 'H': 'Anger Point'}",0.7,15.2,Brown,['Krokorok'],['Field'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krokorok,552,Krokorok,0552_krokorok,"['Ground', 'Dark']",,,,,,,,,"{'hp': 60, 'atk': 82, 'def': 45, 'spa': 45, 'spd': 45, 'spe': 74}","{'0': 'Intimidate', '1': 'Moxie', 'H': 'Anger Point'}",1,33.4,Brown,['Krookodile'],['Field'],NFE,Sandile,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krookodile,553,Krookodile,0553_krookodile,"['Ground', 'Dark']",,,,,,,,,"{'hp': 95, 'atk': 117, 'def': 80, 'spa': 65, 'spd': 70, 'spe': 92}","{'0': 'Intimidate', '1': 'Moxie', 'H': 'Anger Point'}",1.5,96.3,Red,,['Field'],RU,Krokorok,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darumaka,554,Darumaka,0554_darumaka,['Fire'],,,,,,,,,"{'hp': 70, 'atk': 90, 'def': 45, 'spa': 15, 'spd': 45, 'spe': 50}","{'0': 'Hustle', 'H': 'Inner Focus'}",0.6,37.5,Red,['Darmanitan'],['Field'],Illegal,,,['Darumaka-Galar'],"['Darumaka', 'Darumaka-Galar']",,,,,Past,,,,,,,,,,,,,,,,,,,,,
darumakagalar,554,Darumaka-Galar,0554_darumaka-galar,['Ice'],,,,,,,,,"{'hp': 70, 'atk': 90, 'def': 45, 'spa': 15, 'spd': 45, 'spe': 50}","{'0': 'Hustle', 'H': 'Inner Focus'}",0.7,40,White,['Darmanitan-Galar'],['Field'],Illegal,,,,,,Darumaka,Galar,,Past,,,,,,,,,,,,,,,,,,,,,
darmanitan,555,Darmanitan,0555_darmanitan,['Fire'],,,,,,,,,"{'hp': 105, 'atk': 140, 'def': 55, 'spa': 30, 'spd': 55, 'spe': 95}","{'0': 'Sheer Force', 'H': 'Zen Mode'}",1.3,92.9,Red,,['Field'],Illegal,Darumaka,35,"['Darmanitan-Zen', 'Darmanitan-Galar', 'Darmanitan-Galar-Zen']","['Darmanitan', 'Darmanitan-Zen', 'Darmanitan-Galar', 'Darmanitan-Galar-Zen']",,,,,Past,,,,,,,,,,,,Standard,,,,,,,,,
darmanitanzen,555,Darmanitan-Zen,0555_darmanitan-zen,"['Fire', 'Psychic']",,,,,,,,,"{'hp': 105, 'atk': 30, 'def': 105, 'spa': 140, 'spd': 105, 'spe': 55}",{'0': 'Zen Mode'},1.3,92.9,Blue,,['Field'],,,,,,,Darmanitan,Zen,,Past,,,,,,,,,,,,,,,Zen Mode,Darmanitan,,,,,
darmanitangalar,555,Darmanitan-Galar,0555_darmanitan-galar,['Ice'],,,,,,,,,"{'hp': 105, 'atk': 140, 'def': 55, 'spa': 30, 'spd': 55, 'spe': 95}","{'0': 'Gorilla Tactics', 'H': 'Zen Mode'}",1.7,120,White,,['Field'],Illegal,Darumaka-Galar,,,,,Darmanitan,Galar,,Past,,,useItem,,,Ice Stone,,,,,,,,,,,,,,,
darmanitangalarzen,555,Darmanitan-Galar-Zen,0555_darmanitan-galar-zen,"['Ice', 'Fire']",,,,,,,,,"{'hp': 105, 'atk': 160, 'def': 55, 'spa': 30, 'spd': 55, 'spe': 135}",{'0': 'Zen Mode'},1.7,120,White,,['Field'],,,,,,,Darmanitan,Galar-Zen,,Past,,,,,,,,,,,,,,,Zen Mode,Darmanitan-Galar,,,,,
maractus,556,Maractus,0556_maractus,['Grass'],,,,,,,,,"{'hp': 75, 'atk': 86, 'def': 67, 'spa': 106, 'spd': 67, 'spe': 60}","{'0': 'Water Absorb', '1': 'Chlorophyll', 'H': 'Storm Drain'}",1,28,Green,,['Grass'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
dwebble,557,Dwebble,0557_dwebble,"['Bug', 'Rock']",,,,,,,,,"{'hp': 50, 'atk': 65, 'def': 85, 'spa': 35, 'spd': 35, 'spe': 55}","{'0': 'Sturdy', '1': 'Shell Armor', 'H': 'Weak Armor'}",0.3,14.5,Red,['Crustle'],"['Bug', 'Mineral']",Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
crustle,558,Crustle,0558_crustle,"['Bug', 'Rock']",,,,,,,,,"{'hp': 70, 'atk': 105, 'def': 125, 'spa': 65, 'spd': 75, 'spe': 45}","{'0': 'Sturdy', '1': 'Shell Armor', 'H': 'Weak Armor'}",1.4,200,Red,,"['Bug', 'Mineral']",Illegal,Dwebble,34,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
scraggy,559,Scraggy,0559_scraggy,"['Dark', 'Fighting']",,,,,,,,,"{'hp': 50, 'atk': 75, 'def': 70, 'spa': 35, 'spd': 70, 'spe': 48}","{'0': 'Shed Skin', '1': 'Moxie', 'H': 'Intimidate'}",0.6,11.8,Yellow,['Scrafty'],"['Field', 'Dragon']",NFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scrafty,560,Scrafty,0560_scrafty,"['Dark', 'Fighting']",,,,,,,,,"{'hp': 65, 'atk': 90, 'def': 115, 'spa': 45, 'spd': 115, 'spe': 58}","{'0': 'Shed Skin', '1': 'Moxie', 'H': 'Intimidate'}",1.1,30,Red,,"['Field', 'Dragon']",NU,Scraggy,39,['Scrafty-Mega'],"['Scrafty', 'Scrafty-Mega']",,,,,,,,,,,,,,,,,,,,,,,,,,
scraftymega,560,Scrafty-Mega,0560_scrafty-mega,"['Dark', 'Fighting']",,,,,,,,,"{'hp': 65, 'atk': 130, 'def': 135, 'spa': 55, 'spd': 135, 'spe': 68}","{'0': 'Shed Skin', '1': 'Moxie', 'H': 'Intimidate'}",1.1,31,Red,,"['Field', 'Dragon']",Illegal,,,,,,Scrafty,Mega,Scraftinite,Future,,,,,9,,,,,,,,,,,,,,,,
sigilyph,561,Sigilyph,0561_sigilyph,"['Psychic', 'Flying']",,,,,,,,,"{'hp': 72, 'atk': 58, 'def': 80, 'spa': 103, 'spd': 80, 'spe': 97}","{'0': 'Wonder Skin', '1': 'Magic Guard', 'H': 'Tinted Lens'}",1.4,14,Black,,['Flying'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
yamask,562,Yamask,0562_yamask,['Ghost'],,,,,,,,,"{'hp': 38, 'atk': 30, 'def': 85, 'spa': 55, 'spd': 65, 'spe': 30}",{'0': 'Mummy'},0.5,1.5,Black,['Cofagrigus'],"['Mineral', 'Amorphous']",Illegal,,,['Yamask-Galar'],"['Yamask', 'Yamask-Galar']",,,,,Past,,,,,,,,,,,,,,,,,,,,,
yamaskgalar,562,Yamask-Galar,0562_yamask-galar,"['Ground', 'Ghost']",,,,,,,,,"{'hp': 38, 'atk': 55, 'def': 85, 'spa': 30, 'spd': 65, 'spe': 30}",{'0': 'Wandering Spirit'},0.5,1.5,Black,['Runerigus'],"['Mineral', 'Amorphous']",Illegal,,,,,,Yamask,Galar,,Past,,,,,,,,,,,,,,,,,,,,,
cofagrigus,563,Cofagrigus,0563_cofagrigus,['Ghost'],,,,,,,,,"{'hp': 58, 'atk': 50, 'def': 145, 'spa': 95, 'spd': 105, 'spe': 30}",{'0': 'Mummy'},1.7,76.5,Yellow,,"['Mineral', 'Amorphous']",Illegal,Yamask,34,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
tirtouga,564,Tirtouga,0564_tirtouga,"['Water', 'Rock']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 54, 'atk': 78, 'def': 103, 'spa': 53, 'spd': 45, 'spe': 22}","{'0': 'Solid Rock', '1': 'Sturdy', 'H': 'Swift Swim'}",0.7,16.5,Blue,['Carracosta'],"['Water 1', 'Water 3']",Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
carracosta,565,Carracosta,0565_carracosta,"['Water', 'Rock']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 74, 'atk': 108, 'def': 133, 'spa': 83, 'spd': 65, 'spe': 32}","{'0': 'Solid Rock', '1': 'Sturdy', 'H': 'Swift Swim'}",1.2,81,Blue,,"['Water 1', 'Water 3']",Illegal,Tirtouga,37,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
archen,566,Archen,0566_archen,"['Rock', 'Flying']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 55, 'atk': 112, 'def': 45, 'spa': 74, 'spd': 45, 'spe': 70}",{'0': 'Defeatist'},0.5,9.5,Yellow,['Archeops'],"['Flying', 'Water 3']",Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
archeops,567,Archeops,0567_archeops,"['Rock', 'Flying']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 75, 'atk': 140, 'def': 65, 'spa': 112, 'spd': 65, 'spe': 110}",{'0': 'Defeatist'},1.4,32,Yellow,,"['Flying', 'Water 3']",Illegal,Archen,37,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
trubbish,568,Trubbish,0568_trubbish,['Poison'],,,,,,,,,"{'hp': 50, 'atk': 50, 'def': 62, 'spa': 40, 'spd': 62, 'spe': 65}","{'0': 'Stench', '1': 'Sticky Hold', 'H': 'Aftermath'}",0.6,31,Green,['Garbodor'],['Mineral'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
garbodor,569,Garbodor,0569_garbodor,['Poison'],,,,,,,,,"{'hp': 80, 'atk': 95, 'def': 82, 'spa': 60, 'spd': 82, 'spe': 75}","{'0': 'Stench', '1': 'Weak Armor', 'H': 'Aftermath'}",1.9,107.3,Green,,['Mineral'],Illegal,Trubbish,36,,,G-Max Malodor,,,,Past,,,,,,,,,,,,,,,,,,,,,
garbodorgmax,569,Garbodor-Gmax,0569_garbodor-gmax,['Poison'],,,,,,,,,"{'hp': 80, 'atk': 95, 'def': 82, 'spa': 60, 'spd': 82, 'spe': 75}","{'0': 'Stench', '1': 'Weak Armor', 'H': 'Aftermath'}",21,0,Green,,['Mineral'],Illegal,,,,,,Garbodor,Gmax,,Past,Garbodor,,,,,,,,,,,,,,,,,,,,
zorua,570,Zorua,0570_zorua,['Dark'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 40, 'atk': 65, 'def': 40, 'spa': 80, 'spd': 40, 'spe': 65}",{'0': 'Illusion'},0.7,12.5,Gray,['Zoroark'],['Field'],LC,,,['Zorua-Hisui'],"['Zorua', 'Zorua-Hisui']",,,,,,,,,,,,,,,,,,,,,,,,,,
zoruahisui,570,Zorua-Hisui,0570_zorua-hisui,"['Normal', 'Ghost']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 35, 'atk': 60, 'def': 40, 'spa': 85, 'spd': 40, 'spe': 70}",{'0': 'Illusion'},0.7,12.5,Gray,['Zoroark-Hisui'],['Field'],LC,,,,,,Zorua,Hisui,,,,,,,,,,,,,,,,,,,,,,,
zoroark,571,Zoroark,0571_zoroark,['Dark'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 60, 'atk': 105, 'def': 60, 'spa': 120, 'spd': 60, 'spe': 105}",{'0': 'Illusion'},1.6,81.1,Gray,,['Field'],PU,Zorua,30,['Zoroark-Hisui'],"['Zoroark', 'Zoroark-Hisui']",,,,,,,,,,,,,,,,,,,,,,,,,,
zoroarkhisui,571,Zoroark-Hisui,0571_zoroark-hisui,"['Normal', 'Ghost']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 55, 'atk': 100, 'def': 60, 'spa': 125, 'spd': 60, 'spe': 110}",{'0': 'Illusion'},1.6,73,Gray,,['Field'],RUBL,Zorua-Hisui,30,,,,Zoroark,Hisui,,,,,,,,,,,,,,,,,,,,,,,
minccino,572,Minccino,0572_minccino,['Normal'],,"{'M': 0.25, 'F': 0.75}",,,,,,,"{'hp': 55, 'atk': 50, 'def': 40, 'spa': 40, 'spd': 40, 'spe': 75}","{'0': 'Cute Charm', '1': 'Technician', 'H': 'Skill Link'}",0.4,5.8,Gray,['Cinccino'],['Field'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinccino,573,Cinccino,0573_cinccino,['Normal'],,"{'M': 0.25, 'F': 0.75}",,,,,,,"{'hp': 75, 'atk': 95, 'def': 60, 'spa': 65, 'spd': 60, 'spe': 115}","{'0': 'Cute Charm', '1': 'Technician', 'H': 'Skill Link'}",0.5,7.5,Gray,,['Field'],NU,Minccino,,,,,,,,,,,useItem,,,Shiny Stone,,,,,,,,,,,,,,,
gothita,574,Gothita,0574_gothita,['Psychic'],,"{'M': 0.25, 'F': 0.75}",,,,,,,"{'hp': 45, 'atk': 30, 'def': 50, 'spa': 55, 'spd': 65, 'spe': 45}","{'0': 'Frisk', '1': 'Competitive', 'H': 'Shadow Tag'}",0.4,5.8,Purple,['Gothorita'],['Human-Like'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gothorita,575,Gothorita,0575_gothorita,['Psychic'],,"{'M': 0.25, 'F': 0.75}",,,,,,,"{'hp': 60, 'atk': 45, 'def': 70, 'spa': 75, 'spd': 85, 'spe': 55}","{'0': 'Frisk', '1': 'Competitive', 'H': 'Shadow Tag'}",0.7,18,Purple,['Gothitelle'],['Human-Like'],NFE,Gothita,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gothitelle,576,Gothitelle,0576_gothitelle,['Psychic'],,"{'M': 0.25, 'F': 0.75}",,,,,,,"{'hp': 70, 'atk': 55, 'def': 95, 'spa': 95, 'spd': 110, 'spe': 65}","{'0': 'Frisk', '1': 'Competitive', 'H': 'Shadow Tag'}",1.5,44,Purple,,['Human-Like'],ZU,Gothorita,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solosis,577,Solosis,0577_solosis,['Psychic'],,,,,,,,,"{'hp': 45, 'atk': 30, 'def': 40, 'spa': 105, 'spd': 50, 'spe': 20}","{'0': 'Overcoat', '1': 'Magic Guard', 'H': 'Regenerator'}",0.3,1,Green,['Duosion'],['Amorphous'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duosion,578,Duosion,0578_duosion,['Psychic'],,,,,,,,,"{'hp': 65, 'atk': 40, 'def': 50, 'spa': 125, 'spd': 60, 'spe': 30}","{'0': 'Overcoat', '1': 'Magic Guard', 'H': 'Regenerator'}",0.6,8,Green,['Reuniclus'],['Amorphous'],NFE,Solosis,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reuniclus,579,Reuniclus,0579_reuniclus,['Psychic'],,,,,,,,,"{'hp': 110, 'atk': 65, 'def': 75, 'spa': 125, 'spd': 85, 'spe': 30}","{'0': 'Overcoat', '1': 'Magic Guard', 'H': 'Regenerator'}",1,20.1,Green,,['Amorphous'],NU,Duosion,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ducklett,580,Ducklett,0580_ducklett,"['Water', 'Flying']",,,,,,,,,"{'hp': 62, 'atk': 44, 'def': 50, 'spa': 44, 'spd': 50, 'spe': 55}","{'0': 'Keen Eye', '1': 'Big Pecks', 'H': 'Hydration'}",0.5,5.5,Blue,['Swanna'],"['Water 1', 'Flying']",LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swanna,581,Swanna,0581_swanna,"['Water', 'Flying']",,,,,,,,,"{'hp': 75, 'atk': 87, 'def': 63, 'spa': 87, 'spd': 63, 'spe': 98}","{'0': 'Keen Eye', '1': 'Big Pecks', 'H': 'Hydration'}",1.3,24.2,White,,"['Water 1', 'Flying']",ZU,Ducklett,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanillite,582,Vanillite,0582_vanillite,['Ice'],,,,,,,,,"{'hp': 36, 'atk': 50, 'def': 50, 'spa': 65, 'spd': 60, 'spe': 44}","{'0': 'Ice Body', '1': 'Snow Cloak', 'H': 'Weak Armor'}",0.4,5.7,White,['Vanillish'],['Mineral'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
vanillish,583,Vanillish,0583_vanillish,['Ice'],,,,,,,,,"{'hp': 51, 'atk': 65, 'def': 65, 'spa': 80, 'spd': 75, 'spe': 59}","{'0': 'Ice Body', '1': 'Snow Cloak', 'H': 'Weak Armor'}",1.1,41,White,['Vanilluxe'],['Mineral'],Illegal,Vanillite,35,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
vanilluxe,584,Vanilluxe,0584_vanilluxe,['Ice'],,,,,,,,,"{'hp': 71, 'atk': 95, 'def': 85, 'spa': 110, 'spd': 95, 'spe': 79}","{'0': 'Ice Body', '1': 'Snow Warning', 'H': 'Weak Armor'}",1.3,57.5,White,,['Mineral'],Illegal,Vanillish,47,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
deerling,585,Deerling,0585_deerling,"['Normal', 'Grass']",,,,,,,,,"{'hp': 60, 'atk': 60, 'def': 50, 'spa': 40, 'spd': 50, 'spe': 75}","{'0': 'Chlorophyll', '1': 'Sap Sipper', 'H': 'Serene Grace'}",0.6,19.5,Pink,['Sawsbuck'],['Field'],LC,,,,"['Deerling', 'Deerling-Summer', 'Deerling-Autumn', 'Deerling-Winter']",,,,,,,,,,,,,,,,,Spring,"['Deerling-Summer', 'Deerling-Autumn', 'Deerling-Winter']",,,,,,,,
deerlingsummer,,Deerling-Summer,0_deerling-summer,,,,,,,,,,,,,,Green,,,,,,,,,Deerling,Summer,,,,,,,,,,,,,,,,,,,,TRUE,,,
deerlingautumn,,Deerling-Autumn,0_deerling-autumn,,,,,,,,,,,,,,Red,,,,,,,,,Deerling,Autumn,,,,,,,,,,,,,,,,,,,,TRUE,,,
deerlingwinter,,Deerling-Winter,0_deerling-winter,,,,,,,,,,,,,,Brown,,,,,,,,,Deerling,Winter,,,,,,,,,,,,,,,,,,,,TRUE,,,
sawsbuck,586,Sawsbuck,0586_sawsbuck,"['Normal', 'Grass']",,,,,,,,,"{'hp': 80, 'atk': 100, 'def': 70, 'spa': 60, 'spd': 70, 'spe': 95}","{'0': 'Chlorophyll', '1': 'Sap Sipper', 'H': 'Serene Grace'}",1.9,92.5,Brown,,['Field'],ZU,Deerling,34,,"['Sawsbuck', 'Sawsbuck-Summer', 'Sawsbuck-Autumn', 'Sawsbuck-Winter']",,,,,,,,,,,,,,,,,Spring,"['Sawsbuck-Summer', 'Sawsbuck-Autumn', 'Sawsbuck-Winter']",,,,,,,,
emolga,587,Emolga,0587_emolga,"['Electric', 'Flying']",,,,,,,,,"{'hp': 55, 'atk': 75, 'def': 60, 'spa': 75, 'spd': 60, 'spe': 103}","{'0': 'Static', 'H': 'Motor Drive'}",0.4,5,White,,['Field'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
karrablast,588,Karrablast,0588_karrablast,['Bug'],,,,,,,,,"{'hp': 50, 'atk': 75, 'def': 45, 'spa': 40, 'spd': 45, 'spe': 60}","{'0': 'Swarm', '1': 'Shed Skin', 'H': 'No Guard'}",0.5,5.9,Blue,['Escavalier'],['Bug'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
escavalier,589,Escavalier,0589_escavalier,"['Bug', 'Steel']",,,,,,,,,"{'hp': 70, 'atk': 135, 'def': 105, 'spa': 60, 'spd': 105, 'spe': 20}","{'0': 'Swarm', '1': 'Shell Armor', 'H': 'Overcoat'}",1,33,Gray,,['Bug'],Illegal,Karrablast,,,,,,,,Past,,with a Shelmet,trade,,,,,,,,,,,,,,,,,,
foongus,590,Foongus,0590_foongus,"['Grass', 'Poison']",,,,,,,,,"{'hp': 69, 'atk': 55, 'def': 45, 'spa': 55, 'spd': 55, 'spe': 15}","{'0': 'Effect Spore', 'H': 'Regenerator'}",0.2,1,White,['Amoonguss'],['Grass'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
